mean_maxn_perdrop,grav_total_dec
0,106.6410261
0.361702128,67.0638302
1.06779661,80.11864448
0.230769231,101.5961543
0.08,56.99333374
0.549019608,21.35294159
0.865384615,19.53846195
1.254901961,18.05882394
1,24.71739171
1.372093023,19.93023297
0.734693878,79.00000041
1.1,4.400000411
1.862068966,8.7586211
2.34375,11.46875041
1.375,8.000000411
0.357142857,1275.535715
1.1875,135.1875004
0.386363636,4.818182229
0.72,15.64000041
0.375,67.00000041
0.923076923,60.84615426
0,18317.42424
0.357142857,293.6428576
0.068965517,169.8965521
0.25,126.2000004
0.208333333,27.50000041
0.181818182,58.47727314
0.357142857,78.00000041
0.236842105,76.89473725
0.358974359,97.02564144
0.184210526,13699.52632
0.552631579,171.8421057
0.379310345,136.206897
0.393939394,107.2121216
0.321428571,258.0357147
0.8,223.6000004
0.766666667,201.2000004
1.305555556,52.27777819
0.703703704,45.85185226
0.333333333,105.2444449
1.666666667,12.66666708
0.184210526,541.7631583
0.166666667,533.0000004
0,99.06896593
0,159.3437504
0,318.6086961
0,527.6666671
0,329.9142861
0,379.0000004
0.228571429,21.82857184
1.119047619,27.00000041
0,208.7575762
0,131.6052636
0.14,76.00000041
0.367346939,27.00000041
0.3,27.00000041
0.095238095,80.76190517
2.961904762,4.105e-07
0.245283019,162.9811325
0,290.0000004
0,461.3529416
0,690.1935488
0,521.8139539
1.093023256,22.1511632
0,50.76923118
0.023255814,71.09302367
1.715789474,0.1263162
1.333333333,4.105e-07
1.964285714,4.105e-07
1.9,4.105e-07
0.862745098,3.784314136
1.2,3.000000411
2.08,2.000000411
0.913043478,2.000000411
0.350877193,30.98245655
0.47826087,36.78260911
0.086021505,956.1720434
0.892307692,3.984615795
0.183673469,206.1224494
2.176470588,4.105e-07
3.709677419,1.000000411
2.26,1.000000411
0.023809524,8650.428572
1.553191489,18.17021318
0.11627907,111.4534888
0.111111111,797.9629634
0.215686275,89.62745139
2.3,6.000000411
0.16,17.22000041
0.138888889,435.555556
0.12345679,91.27160535
0.977777778,2.822222633
0.490566038,36.58490607
0.142857143,205.4047623
0.590163934,11.19672172
0,28.34328399
0.323529412,58.14705923
0.693877551,5.775510615
0.966101695,1.000000411
0.115384615,48.96153887
3.369565217,1.413043889
0.08,266.3400004
0.176470588,57.72549061
0.463414634,23.56097602
3.703703704,1.000000411
1.410714286,0.035714696
1.1,22.50000041
0.941176471,2.705882763
0.090909091,739.0181822
0.010526316,40.47368462
0,112.2500004
0.041666667,299.4166671
0.048387097,91.0967746
0.448979592,27.2857147
1.446808511,0.510638708
0,3172.916667
0.903846154,1.000000411
0.037735849,152.9433966
1.243243243,4.105e-07
2.166666667,7.800000411
0.9375,5.979167077
0.22,36.28000041
0.563636364,14.2909095
1.02,5.400000411
1.66,2.620000411
1.045454545,8.204545865
0.769230769,14.4871799
0.731707317,118.5121955
0.52173913,4.105e-07
1.369565217,4.105e-07
0,4963
0.389830508,202.9661021
0.710526316,199.0000004
0.019607843,450.0588239
1.365384615,18.23076964
2.636363636,4.105e-07
2.805555556,4.105e-07
0.548387097,1.903226217
0.304347826,21.00000041
0,39.00000041
0.291666667,33.83333374
0,32.00000041
0.185185185,32.00000041
1.020833333,4.105e-07
2.075,9060.25
1.146341463,45.24390285
2.681818182,56.45454587
1.325,35.20000041
1.846153846,1.871795282
2.088235294,2.647059234
0.041666667,288.5625004
0.142857143,267.0000004
0,126.2325586
0,133.44898
0.934210526,7.000000411
0.529411765,10.00000041
0.183673469,75.87755143
0.25,10.00000041
2.857142857,5.346939186
1.446808511,4.340425942
0.105263158,19.59649164
0.083333333,19.08333374
0.19047619,20.07142898
0.2890625,164.7109379
0.454545455,95.3896108
0.423076923,121.4615389
0.12962963,118.7222226
0.086956522,180.1739135
0.192307692,128.7692312
0.338983051,4.105e-07
0,4.105e-07
0.488372093,9.953488783
5.847826087,4.105e-07
0,211.9545459
0,222.0000004
0.960784314,4.105e-07
0.125,85.05000041
0.068181818,21.00000041
0.078947368,1064.289474
0.435897436,8.000000411
0.645833333,79.00000041
0.457142857,126.2285718
0,201.0256414
0,176.4042557
0.612244898,33.75510245
0.142857143,36.08163306
0,567.4166671
0,447.9411769
0.745098039,22.84313767
0.239130435,16.36956563
2.717948718,6.000000411
2.65,0.500000411
1.942857143,4.114286125
4.230769231,4.105e-07
3.447368421,8.894737253
4.888888889,0.083333744
1.483870968,150.1935488
1.435897436,15.28205169
1.75,303.5000004
2.05,1.000000411
0.368421053,2.736842516
0.179487179,6.923077334
2,4.105e-07
2,4.105e-07
2.5,4.105e-07
1.5,4.105e-07
1.725,228.0500004
0.125,73.87500041
0.326086957,59.86956563
0.192307692,34.30769272
0.842105263,4.105e-07
1.720930233,4.105e-07
1.392857143,21.14285755
0.019607843,469.4901965
0,975.0000004
0,1067
2.743589744,4.105e-07
4.379310345,4.105e-07
4.916666667,4.105e-07
0.461538462,237.3076927
0.301587302,10.00000041
0.25,10.00000041
0.230769231,8.000000411
0.262295082,7.55737746
0.375,11.00000041
0,300.7368425
0,519.4047623
0,37.00000041
0.12,767.0000004
0.565217391,23.39130476
0.133333333,10.00000041
0,11.02500041
0,11.00000041
0,10.30000041
0,9.781818592
0,8.888889299
0,25.02941218
0,21.00000041
0,19.77272768
0,138.0000004
0,65.93333374
0,138.4375004
0,170.6470592
0.125,340.5833337
0.2,1.800000411
0.078431373,3.196078842
0.263157895,4.000000411
0.038461538,3.038461949
0.1,3.000000411
0.117647059,3.000000411
0.333333333,3.000000411
0.098039216,4.000000411
0.210526316,4.000000411
0.043478261,21.00000041
0.29787234,18.00000041
0.244444444,18.00000041
0,767.0000004
0.611111111,4.105e-07
0.692307692,4.105e-07
0.625,1.109375411
0.510638298,4.105e-07
0.677966102,4.105e-07
0.666666667,0.285714696
1.1,4.105e-07
0.444444444,13.83333374
0.75,8.700000411
0.509433962,192.5660381
2.5,4.105e-07
1.310344828,4.105e-07
1.251141553,4.105e-07
1.060240964,4.105e-07
2.055555556,4.105e-07
1.972477064,4.105e-07
3.405405405,4.105e-07
2.333333333,4.105e-07
4.346153846,4.105e-07
0.976744186,4.105e-07
1.5,4.105e-07
1.053571429,4.105e-07
0.947368421,4.105e-07
0.168831169,0.571428982
0.130434783,15.60869606
0.274509804,1.000000411
0.944444444,289.4444449
0.25,1.000000411
1.285714286,0.428571839
1.529411765,0.205882763
0.727272727,1.363636774
0.357142857,1.000000411
1,4.105e-07
1.3,1.000000411
0.222222222,4.105e-07
0.789473684,4.105e-07
0.461538462,2.153846564
0.692307692,1.000000411
0.107142857,1.000000411
0.09375,1.000000411
0,1.466667077
0.653061224,4.105e-07
1,0.589744
0.525,0.025000411
2.47311828,1.645161701
3.34375,0.343750411
3.385964912,0.894737253
0.090909091,11.65909132
0.145454545,12.14545496
0.548387097,2.322581056
0.8,4.105e-07
0.846153846,4.105e-07
1.666666667,0.500000411
1.0625,4.105e-07
0.34375,8.625000411
2.361111111,0.083333744
3.657894737,4.105e-07
5.095238095,1.714286125
2.315789474,1.947368832
0.441176471,4.105e-07
0.486486486,4.105e-07
0,7.000000411
0.208333333,86.12500041
0,3.000000411
0,37.61904803
0,39.00000041
0,29.68421094
6,4.105e-07
5,4.105e-07
0,23.00000041
0.142857143,21.38095279
0,39.79166708
1.25,4.105e-07
1.333333333,4.105e-07
0.083333333,31.00000041
0,305.8235298
0,52.00000041
0.166666667,1388
0,300.0000004
0,245.2500004
3.28125,4.105e-07
8.673913043,4.105e-07
0,2962
0,256.6206901
0,2664.769231
0,314.290323
0.8,9.000000411
0,108.5172418
0,245.615385
0.022222222,700.6222226
0.058823529,326.5882357
0.75,269.4642861
0.019230769,932.5384619
0,207.5769235
0.166666667,91.50000041
0.138888889,654.8611115
0,46.62500041
0,96.79487221
1.44,67.10000041
0.150943396,70.43396267
0.4,80.86666708
0,83.76086998
0.658536585,51.09756139
0,189.8780492
0.026315789,323.8421057
0.357142857,60.00000041
0.2,8.000000411
0.357142857,8.071428982
7.083333333,4.105e-07
4.117647059,4.105e-07
0.745762712,33.49152583
0,21.62500041
0.076923077,154.8076927
0.47826087,97.58695693